USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root      1158  0.0  0.0  42400  3436 ?        Sl   09:47   0:00 /usr/sbin/console-kit-daemon --no-daemon
root      1160  0.0  0.0   2620   912 ?        Ss   09:47   0:00 cron
daemon    1161  0.0  0.0   2472   348 ?        Ss   09:47   0:00 atd
root      1180  0.0  0.0  35760  3760 ?        Ssl  09:47   0:00 lightdm
root      1181  0.0  0.0   3604   664 ?        Ss   09:47   0:03 /usr/sbin/irqbalance
root      1250  0.0  0.0      0     0 ?        S<   09:47   0:00 [nfsd4]
root      1251  0.0  0.0      0     0 ?        S<   09:47   0:00 [nfsd4_callbacks]
root      1252  0.0  0.0      0     0 ?        S    09:47   0:00 [lockd]
root      1255  0.0  0.0      0     0 ?        S    09:47   0:00 [nfsd]
root      1256  0.0  0.0      0     0 ?        S    09:47   0:00 [nfsd]
root      1257  0.0  0.0      0     0 ?        S    09:47   0:02 [nfsd]
root      1258  0.0  0.0      0     0 ?        S    09:47   0:00 [nfsd]
root      1259  0.0  0.0      0     0 ?        S    09:47   0:00 [nfsd]
root      1260  0.0  0.0      0     0 ?        S    09:47   0:00 [nfsd]
root      1261  0.0  0.0      0     0 ?        S    09:47   0:01 [nfsd]
root      1262  0.0  0.0      0     0 ?        S    09:47   0:00 [nfsd]
root      1272  0.0  0.0  33920  5464 ?        Ssl  09:47   0:00 NetworkManager
root      1290  0.0  0.0  26980  4368 ?        Sl   09:47   0:00 /usr/lib/policykit-1/polkitd --no-debug
whoopsie  1291  0.0  0.0  26484  4728 ?        Ssl  09:47   0:01 whoopsie
root      1292  0.0  0.0   3460  1508 ?        Ss   09:47   0:00 /usr/sbin/rpc.mountd --manage-gids
root      1317  1.3  0.7 139996 61956 tty7     Ssl+ 09:47   7:20 /usr/bin/X :0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch -background none
root      1370  0.0  0.0  34040  6972 ?        Ss   09:47   0:00 /usr/sbin/apache2 -k start
